"Story","Title","Result","Date","Stability","Duration (s)"
"Login","autenticacion en ClaimsCenter","SUCCESS","2016-04-15T17:01:28.399-05:00","0.0","6.37"
"Contacto","autenticacion en policycenter","ERROR","2016-04-15T17:01:38.634-05:00","0.0","10.5"
